,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2023-05-30,176.96,178.99,176.57,177.3,177.3,55964401,0.0,1.0
1,2023-05-26,173.32,175.77,173.11,175.43,175.43,54834975,0.0,1.0
2,2023-05-25,172.41,173.895,171.69,172.99,172.99,56058258,0.0,1.0
3,2023-05-24,171.09,172.4183,170.52,171.84,171.84,45143488,0.0,1.0
4,2023-05-23,173.13,173.3794,171.275,171.56,171.56,50747263,0.0,1.0
5,2023-05-22,173.98,174.71,173.45,174.2,174.2,43570932,0.0,1.0
6,2023-05-19,176.39,176.39,174.94,175.16,175.16,55809475,0.0,1.0
7,2023-05-18,173.0,175.24,172.58,175.05,175.05,65496657,0.0,1.0
8,2023-05-17,171.71,172.925,170.4201,172.69,172.69,57951604,0.0,1.0
9,2023-05-16,171.99,173.1383,171.7991,172.07,172.07,42110293,0.0,1.0
10,2023-05-15,173.16,173.21,171.47,172.07,172.07,37266659,0.0,1.0
11,2023-05-12,173.62,174.06,171.0,172.57,172.57,45533138,0.24,1.0
12,2023-05-11,173.85,174.59,172.17,173.75,173.51,49514676,0.0,1.0
13,2023-05-10,173.02,174.03,171.9,173.555,173.31,53724501,0.0,1.0
14,2023-05-09,173.05,173.54,171.6,171.77,171.53,45326874,0.0,1.0
15,2023-05-08,172.48,173.85,172.11,173.5,173.26,55962793,0.0,1.0
16,2023-05-05,170.975,174.3,170.76,173.57,173.33,113453171,0.0,1.0
17,2023-05-04,164.89,167.04,164.31,165.79,165.56,81235427,0.0,1.0
18,2023-05-03,169.5,170.92,167.16,167.45,167.22,65136018,0.0,1.0
19,2023-05-02,170.09,170.35,167.54,168.54,168.31,48425696,0.0,1.0
20,2023-05-01,169.28,170.45,168.64,169.59,169.35,52472936,0.0,1.0
21,2023-04-28,168.49,169.85,167.8801,169.68,169.44,55275851,0.0,1.0
22,2023-04-27,165.19,168.56,165.19,168.41,168.18,64902329,0.0,1.0
23,2023-04-26,163.055,165.28,162.8,163.76,163.53,44105745,0.0,1.0
24,2023-04-25,165.19,166.305,163.73,163.77,163.54,48714063,0.0,1.0
25,2023-04-24,165.0,165.6,163.89,165.33,165.1,41949581,0.0,1.0
26,2023-04-21,165.05,166.4521,164.49,165.02,164.79,58337341,0.0,1.0
27,2023-04-20,166.09,167.87,165.56,166.65,166.42,52456377,0.0,1.0
28,2023-04-19,165.8,168.16,165.54,167.63,167.4,47720166,0.0,1.0
29,2023-04-18,166.1,167.41,165.65,166.47,166.24,49923008,0.0,1.0
30,2023-04-17,165.09,165.39,164.03,165.23,165.0,40713618,0.0,1.0
31,2023-04-14,164.59,166.32,163.82,165.21,164.98,49386480,0.0,1.0
32,2023-04-13,161.63,165.8,161.42,165.56,165.33,68445649,0.0,1.0
33,2023-04-12,161.22,162.06,159.78,160.1,159.88,50133062,0.0,1.0
34,2023-04-11,162.35,162.36,160.51,160.8,160.58,47644217,0.0,1.0
35,2023-04-10,161.42,162.03,160.08,162.03,161.8,47716882,0.0,1.0
36,2023-04-06,162.43,164.9584,162.0,164.66,164.43,45390123,0.0,1.0
37,2023-04-05,164.74,165.05,161.8,163.76,163.53,51511744,0.0,1.0
38,2023-04-04,166.595,166.84,165.11,165.63,165.4,46278295,0.0,1.0
39,2023-04-03,164.27,166.29,164.22,166.17,165.94,56976187,0.0,1.0
40,2023-03-31,162.44,165.0,161.91,164.9,164.67,68749792,0.0,1.0
41,2023-03-30,161.53,162.47,161.271,162.36,162.13,49501689,0.0,1.0
42,2023-03-29,159.37,161.05,159.35,160.77,160.55,51305691,0.0,1.0
43,2023-03-28,157.97,158.49,155.98,157.65,157.43,45992152,0.0,1.0
44,2023-03-27,159.94,160.77,157.87,158.28,158.06,52390266,0.0,1.0
45,2023-03-24,158.86,160.34,157.85,160.25,160.03,59256343,0.0,1.0
46,2023-03-23,158.83,161.5501,157.68,158.93,158.71,67622060,0.0,1.0
47,2023-03-22,159.3,162.14,157.81,157.83,157.61,75701811,0.0,1.0
48,2023-03-21,157.32,159.4,156.54,159.28,159.06,73938285,0.0,1.0
49,2023-03-20,155.07,157.82,154.15,157.4,157.18,73641415,0.0,1.0
50,2023-03-17,156.08,156.74,154.28,155.0,154.78,98944633,0.0,1.0
51,2023-03-16,152.16,156.46,151.64,155.85,155.63,76254419,0.0,1.0
52,2023-03-15,151.19,153.245,149.92,152.99,152.78,77167866,0.0,1.0
53,2023-03-14,151.28,153.4,150.1,152.59,152.38,73695893,0.0,1.0
54,2023-03-13,147.805,153.14,147.7,150.47,150.26,84457122,0.0,1.0
55,2023-03-10,150.21,150.94,147.6096,148.5,148.29,68572400,0.0,1.0
56,2023-03-09,153.559,154.535,150.225,150.59,150.38,53833582,0.0,1.0
57,2023-03-08,152.81,153.47,151.83,152.87,152.66,47204791,0.0,1.0
58,2023-03-07,153.7,154.0299,151.13,151.6,151.39,56182028,0.0,1.0
59,2023-03-06,153.785,156.3,153.46,153.83,153.62,87558028,0.0,1.0
60,2023-03-03,148.045,151.11,147.33,151.03,150.82,70732297,0.0,1.0
61,2023-03-02,144.38,146.71,143.9,145.91,145.71,52279761,0.0,1.0
62,2023-03-01,146.83,147.2285,145.01,145.31,145.11,55478991,0.0,1.0
63,2023-02-28,147.05,149.08,146.83,147.41,147.21,50546998,0.0,1.0
64,2023-02-27,147.71,149.17,147.45,147.92,147.71,44998470,0.0,1.0
65,2023-02-24,147.11,147.19,145.7202,146.71,146.51,55469606,0.0,1.0
66,2023-02-23,150.09,150.34,147.24,149.4,149.19,48394249,0.0,1.0
67,2023-02-22,148.87,149.95,147.16,148.91,148.7,51011305,0.0,1.0
68,2023-02-21,150.2,151.3,148.405,148.48,148.27,58867230,0.0,1.0
69,2023-02-17,152.35,153.0,150.85,152.55,152.34,59144118,0.0,1.0
70,2023-02-16,153.51,156.33,153.3475,153.71,153.5,68167942,0.0,1.0
71,2023-02-15,153.11,155.5,152.88,155.33,155.11,65669252,0.0,1.0
